dataset,z_um,y_um,x_um
2P (mCherry),51.422222222222224,290.98707493333336,65.52486453333333
2P (mCherry),51.567567567567565,381.9414905675676,274.8350418648649
2P (mCherry),60.09090909090909,16.050084272727272,14.43197890909091
2P (mCherry),58.14673913043478,143.35430333152175,87.4768350978261
2P (mCherry),55.16279069767442,21.183041860465117,23.755268372093024
2P (mCherry),54.45161290322581,90.05867748387097,74.59066412903226
2P (mCherry),53.407407407407405,126.55802755555555,87.11105666666667
2P (mCherry),54.333333333333336,130.36838325,87.23756650000001
2P (mCherry),59.709511568123396,162.00571427506426,89.42958282262211
2P (mCherry),53.333333333333336,386.841252,379.312626
2P (mCherry),58.73684210526316,347.5805354736842,13.457602421052634
2P (mCherry),56.7,386.1766881,369.5207649000001
2P (mCherry),61.3509234828496,213.74906882849606,87.85800353034301
2P (mCherry),67.11585365853658,382.87616997256094,295.8703545
2P (mCherry),58.516129032258064,387.015150967742,367.874271483871
2P (mCherry),62.59493670886076,406.70051791139247,428.5663585443038
2P (mCherry),61.540983606557376,239.5995509508197,83.49293468852458
2P (mCherry),68.09066666666666,384.6396297706667,344.3288256426667
2P (mCherry),65.40084388185655,387.4010196118144,263.78009437130805
2P (mCherry),60.903225806451616,400.48232677419355,415.642518967742
2P (mCherry),61.30434782608695,402.87645756521744,420.358387826087
2P (mCherry),64.69444444444444,49.221361583333334,46.645982833333335
2P (mCherry),67.49640287769785,81.53370228776978,62.86225510791367
2P (mCherry),63.49090909090909,85.69283214545456,67.69623330909091
2P (mCherry),69.11482254697286,97.65713973695199,68.21479637160752
2P (mCherry),70.84132055378062,113.22000709904155,74.00253617252396
2P (mCherry),63.822784810126585,125.39709584810127,81.41834293670887
